ID,city,city_ascii,lat,lng,fed,province / region,Timezone
121,Milan,Milan,45.47,9.205,IT,Lombardy,Paris: UTC+1(+2)
122,Stuttgart,Stuttgart,48.78,9.2,DE,Baden-Württemberg,Paris: UTC+1(+2)
123,Kunming,Kunming,25.07,102.68,CN,Yunnan,Shanghai: UTC+8
124,Dar es Salaam,Dar es Salaam,-6.8,39.2683,TZ,Dar es Salaam,Istanbul: UTC+3
125,Minneapolis,Minneapolis,44.9635,-93.2678,US,Minnesota,Chicago: UTC-6(-5)
126,Jaipur,Jaipur,26.9211,75.81,IN,Rājasthān,Mumbai: UTC+5.5
127,Taiyuan,Taiyuan,37.875,112.5451,CN,Shanxi,Shanghai: UTC+8
128,Frankfurt,Frankfurt,50.1,8.675,DE,Hesse,Paris: UTC+1(+2)
129,Qingdao,Qingdao,36.09,120.33,CN,Shandong,Shanghai: UTC+8
130,Surabaya,Surabaya,-7.2492,112.7508,ID,Jawa Timur,Jakarta: UTC+7
131,Lisbon,Lisbon,38.7227,-9.1449,PT,Lisboa,London: UTC±0(+1)
132,Tampa,Tampa,27.9942,-82.4451,US,Florida,New_York: UTC-5(-4)
133,Jinan,Jinan,36.675,116.995,CN,Shandong,Shanghai: UTC+8
134,Fukuoka,Fukuoka,33.595,130.41,JP,Fukuoka,Tokyo: UTC+9
135,Campinas,Campinas,-22.9,-47.1,BR,São Paulo,São_Paulo: UTC-3
136,Denver,Denver,39.7621,-104.876,US,Colorado,Denver: UTC-7(-6)
137,Kaohsiung,Kaohsiung,22.6333,120.2666,TW,Kaohsiung,Shanghai: UTC+8
138,Quezon City,Quezon City,14.6504,121.03,PH,Quezon,Shanghai: UTC+8
139,Katowice,Katowice,50.2604,19.02,PL,Śląskie,Paris: UTC+1(+2)
140,Aleppo,Aleppo,36.23,37.17,SY,Ḩalab,Istanbul: UTC+3
141,Durban,Durban,-29.865,30.98,ZA,KwaZulu-Natal,Johannesburg: UTC+2
142,Kyiv,Kyiv,50.4334,30.5166,UA,"Kyyiv, Misto",Athens: UTC+2(+3)
143,Lucknow,Lucknow,26.855,80.915,IN,Uttar Pradesh,Mumbai: UTC+5.5
144,Giza,Giza,30.01,31.19,EG,Al Jīzah,Cairo: UTC+2(+3)
145,Zhengzhou,Zhengzhou,34.755,113.6651,CN,Henan,Shanghai: UTC+8
146,Taichung,Taichung,24.1521,120.6817,TW,Taichung,Shanghai: UTC+8
147,Brooklyn,Brooklyn,40.6501,-73.9496,US,New York,New_York: UTC-5(-4)
148,Ibadan,Ibadan,7.38,3.93,NG,Oyo,Lagos: UTC+1
149,Faisalabad,Faisalabad,31.41,73.11,PK,Punjab,Karachi: UTC+5
150,Fuzhou,Fuzhou,26.08,119.3,CN,Fujian,Shanghai: UTC+8
151,Changsha,Changsha,28.2,112.97,CN,Hunan,Shanghai: UTC+8
152,Dakar,Dakar,14.7158,-17.4731,SN,Dakar,Abidjan: UTC±0
153,İzmir,Izmir,38.4361,27.1518,TR,İzmir,Istanbul: UTC+3
154,Xiangtan,Xiangtan,27.8504,112.9,CN,Hunan,Shanghai: UTC+8
155,Lanzhou,Lanzhou,36.056,103.792,CN,Gansu,Shanghai: UTC+8
156,Incheon,Incheon,37.4761,126.6422,KR,Incheon,Tokyo: UTC+9
157,Sapporo,Sapporo,43.075,141.34,JP,Hokkaidō,Tokyo: UTC+9
158,Xiamen,Xiamen,24.45,118.08,CN,Fujian,Shanghai: UTC+8
159,Guayaquil,Guayaquil,-2.22,-79.92,EC,Guayas,Lima: UTC-5
160,George Town,George Town,5.4136,100.3294,MY,Pulau Pinang,Shanghai: UTC+8
161,Mashhad,Mashhad,36.27,59.57,IR,Khorāsān-e Raẕavī,Tehran: UTC+3.5
162,Damascus,Damascus,33.5,36.3,SY,Dimashq,Istanbul: UTC+3
163,Daegu,Daegu,35.8668,128.607,KR,Daegu,Tokyo: UTC+9
164,Nāgpur,Nagpur,21.17,79.09,IN,Mahārāshtra,Mumbai: UTC+5.5
165,Lianshan,Lianshan,40.7503,120.83,CN,Liaoning,Shanghai: UTC+8
166,Shijiazhuang,Shijiazhuang,38.05,114.48,CN,Hebei,Shanghai: UTC+8
167,Tunis,Tunis,36.8028,10.1797,TN,Tunis,Lagos: UTC+1
168,Vienna,Vienna,48.2,16.3666,AT,Wien,Paris: UTC+1(+2)
169,Jilin,Jilin,43.85,126.55,CN,Jilin,Shanghai: UTC+8
170,Omdurman,Omdurman,15.6167,32.48,SD,Khartoum,Johannesburg: UTC+2
171,Bandung,Bandung,-6.95,107.57,ID,Jawa Barat,Jakarta: UTC+7
172,Bekasi,Bekasi,-6.2173,106.9723,ID,Jawa Barat,Jakarta: UTC+7
173,Mannheim,Mannheim,49.5004,8.47,DE,Baden-Württemberg,Paris: UTC+1(+2)
174,Nanchang,Nanchang,28.68,115.88,CN,Jiangxi,Shanghai: UTC+8
175,Wenzhou,Wenzhou,28.02,120.6501,CN,Zhejiang,Shanghai: UTC+8
176,Queens,Queens,40.7498,-73.7976,US,New York,New_York: UTC-5(-4)
177,Vancouver,Vancouver,49.2734,-123.122,CA,British Columbia,Los_Angeles: UTC-8(-7)
178,Birmingham,Birmingham,52.475,-1.92,UK,Birmingham,London: UTC±0(+1)
179,Cali,Cali,3.4,-76.5,CO,Valle del Cauca,Lima: UTC-5
180,Naples,Naples,40.84,14.245,IT,Campania,Paris: UTC+1(+2)
181,Sendai,Sendai,38.2871,141.0217,JP,Miyagi,Tokyo: UTC+9
182,Manchester,Manchester,53.5004,-2.248,UK,Manchester,London: UTC±0(+1)
183,Puebla,Puebla,19.05,-98.2,MX,Puebla,Mexico_City: UTC-6
184,Tripoli,Tripoli,32.8925,13.18,LY,Ţarābulus,Johannesburg: UTC+2
185,Tashkent,Tashkent,41.3117,69.2949,UZ,Toshkent,Karachi: UTC+5
186,Havana,Havana,23.132,-82.3642,CU,La Habana,New_York: UTC-5(-4)
187,Gaoping,Gaoping,30.7804,106.13,CN,Sichuan,Shanghai: UTC+8
188,Baltimore,Baltimore,39.3051,-76.6144,US,Maryland,New_York: UTC-5(-4)
189,Nanning,Nanning,22.82,108.32,CN,Guangxi,Shanghai: UTC+8
190,Belém,Belem,-1.45,-48.48,BR,Pará,São_Paulo: UTC-3
